Accounting Date,masked_column
9/19/2024,5155
9/19/2024,532
9/20/2024,84
9/20/2024,39
9/21/2024,10
9/22/2024,21
9/22/2024,5
9/26/2024,456
9/26/2024,25
9/26/2024,142
9/26/2024,22
9/26/2024,2
9/26/2024,5032
9/27/2024,5
9/27/2024,12
9/27/2024,59
9/29/2024,5
9/30/2024,6
9/30/2024,9378
10/1/2024,145
10/2/2024,490
10/2/2024,10
10/2/2024,9
10/3/2024,94
10/3/2024,9
10/4/2024,101
10/4/2024,3693
10/6/2024,52
10/6/2024,9
10/6/2024,166
10/7/2024,11
10/9/2024,9
10/9/2024,6
10/9/2024,337
10/10/2024,66
10/10/2024,2335
10/12/2024,11
10/12/2024,10
10/13/2024,25
10/14/2024,11
10/15/2024,11
10/15/2024,6
10/16/2024,10
10/16/2024,2
10/16/2024,18
10/16/2024,20
10/16/2024,0
10/17/2024,24
10/17/2024,17
10/17/2024,12
10/18/2024,531
10/18/2024,4811
10/18/2024,10
10/18/2024,23
10/18/2024,2536
10/18/2024,6160
10/18/2024,17437
10/20/2024,102
10/20/2024,25
10/21/2024,11
10/21/2024,39
10/22/2024,11
10/23/2024,11
10/23/2024,10
10/24/2024,5
10/24/2024,9
10/24/2024,2102
10/24/2024,5
10/25/2024,8
10/25/2024,104
10/25/2024,94
10/25/2024,150
10/26/2024,11
10/26/2024,6
10/27/2024,5
10/27/2024,11
10/27/2024,49
10/27/2024,165
10/27/2024,21
10/27/2024,2333
10/29/2024,6074
10/29/2024,99
10/29/2024,384
10/31/2024,27
10/31/2024,18
11/1/2024,11
11/1/2024,150
11/1/2024,222
11/1/2024,158
11/3/2024,20
11/4/2024,11
11/4/2024,40
11/5/2024,5279
11/5/2024,101
11/5/2024,5322
11/6/2024,45
11/7/2024,78
11/7/2024,10
11/8/2024,148
11/9/2024,6
11/12/2024,5818
11/12/2024,40
11/12/2024,105
11/12/2024,202
11/12/2024,81
11/12/2024,9061
11/13/2024,148
11/13/2024,44
11/13/2024,42
11/14/2024,29
11/14/2024,6
11/14/2024,196
11/14/2024,115
11/14/2024,26
11/14/2024,145
11/16/2024,141
11/16/2024,49
11/18/2024,1
11/19/2024,1018
11/19/2024,11
11/19/2024,4
11/19/2024,897
11/20/2024,28
11/20/2024,165
11/21/2024,5
11/21/2024,112
11/22/2024,6
11/22/2024,5
11/22/2024,147
11/22/2024,177
11/23/2024,62
11/23/2024,11
11/23/2024,11
11/25/2024,10
11/25/2024,1853
11/26/2024,393
11/27/2024,6
11/27/2024,9
11/27/2024,51
11/27/2024,5
11/28/2024,53
11/28/2024,11
11/30/2024,5
12/2/2024,6
12/2/2024,20
12/2/2024,10
12/2/2024,23
12/3/2024,96
12/3/2024,23
12/3/2024,25
12/3/2024,12
12/5/2024,44
12/6/2024,42
12/6/2024,23
12/6/2024,20
12/6/2024,10
12/6/2024,2515
12/10/2024,94
12/10/2024,6534
12/10/2024,534
12/12/2024,24
12/14/2024,31
12/16/2024,24
12/16/2024,27
12/16/2024,26
12/16/2024,29
12/17/2024,0
12/17/2024,1004
12/17/2024,847
12/17/2024,435
